date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:42:22	580/580	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:15cf42b691b78c4789f2d5e8ebfd8314%22	https://dt-baby-care.myshopify.com/robots.txt		(from )
22:42:22	893896/893896	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:1aec9a554fa227138edaeec878b542c2%22	https://dt-baby-care.myshopify.com/?fbclid=IwZXh0bgNhZW0CMTAAAR1ceN_XS-y7oAUOKpaSMkfw_DsaFdrsg-gZkY2DbLx_9BmL3SAYqs0Cukc_aem_AaPvs15xMMhmwJOJU8OPxeL1TDoqvimudtdcTprPFyNpQ9uOMlF2LX5kQPSa7oxPSsphJVYdqVefD_jvnTkX-Mr9	E:/WorkSpace/baby/dt-baby-care.myshopify.com/index7f17.html	(from )
22:42:24	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20May%202024%2015:42:22%20GMT	http://dt-baby-care.myshopify.com/cdn/shop/files/favicon_1_16x16.png?v=1630730388	E:/WorkSpace/baby/dt-baby-care.myshopify.com/cdn/shop/files/favicon_1_16x16.0bb49.delayed	(from https://dt-baby-care.myshopify.com/?fbclid=IwZXh0bgNhZW0CMTAAAR1ceN_XS-y7oAUOKpaSMkfw_DsaFdrsg-gZkY2DbLx_9BmL3SAYqs0Cukc_aem_AaPvs15xMMhmwJOJU8OPxeL1TDoqvimudtdcTprPFyNpQ9uOMlF2LX5kQPSa7oxPSsphJVYdqVefD_jvnTkX-Mr9)
22:42:24	893896/893896	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:1aec9a554fa227138edaeec878b542c2%22	https://dt-baby-care.myshopify.com/	E:/WorkSpace/baby/dt-baby-care.myshopify.com/index.html	(from https://dt-baby-care.myshopify.com/?fbclid=IwZXh0bgNhZW0CMTAAAR1ceN_XS-y7oAUOKpaSMkfw_DsaFdrsg-gZkY2DbLx_9BmL3SAYqs0Cukc_aem_AaPvs15xMMhmwJOJU8OPxeL1TDoqvimudtdcTprPFyNpQ9uOMlF2LX5kQPSa7oxPSsphJVYdqVefD_jvnTkX-Mr9)
22:42:24	688/688	---M--	200	added ('OK')	image/png	date:Thu,%2016%20May%202024%2012:10:07%20GMT	https://dt-baby-care.myshopify.com/cdn/shop/files/favicon_1_16x16.png?v=1630730388	E:/WorkSpace/baby/dt-baby-care.myshopify.com/cdn/shop/files/favicon_1_16x16bb49.png	(from https://dt-baby-care.myshopify.com/?fbclid=IwZXh0bgNhZW0CMTAAAR1ceN_XS-y7oAUOKpaSMkfw_DsaFdrsg-gZkY2DbLx_9BmL3SAYqs0Cukc_aem_AaPvs15xMMhmwJOJU8OPxeL1TDoqvimudtdcTprPFyNpQ9uOMlF2LX5kQPSa7oxPSsphJVYdqVefD_jvnTkX-Mr9)
22:42:26	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20May%202024%2015:42:24%20GMT	http://dt-baby-care.myshopify.com/cdn/shop/t/3/assets/dt-framework.css?v=32495828637880241821658995336	E:/WorkSpace/baby/dt-baby-care.myshopify.com/cdn/shop/t/3/assets/dt-frameworka9c9.css	(from https://dt-baby-care.myshopify.com/?fbclid=IwZXh0bgNhZW0CMTAAAR1ceN_XS-y7oAUOKpaSMkfw_DsaFdrsg-gZkY2DbLx_9BmL3SAYqs0Cukc_aem_AaPvs15xMMhmwJOJU8OPxeL1TDoqvimudtdcTprPFyNpQ9uOMlF2LX5kQPSa7oxPSsphJVYdqVefD_jvnTkX-Mr9)
22:42:26	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20May%202024%2015:42:26%20GMT	http://dt-baby-care.myshopify.com/cdn/shop/t/3/assets/dt-custom.css?v=32157073707039669061630137252	E:/WorkSpace/baby/dt-baby-care.myshopify.com/cdn/shop/t/3/assets/dt-customd29e.css	(from https://dt-baby-care.myshopify.com/?fbclid=IwZXh0bgNhZW0CMTAAAR1ceN_XS-y7oAUOKpaSMkfw_DsaFdrsg-gZkY2DbLx_9BmL3SAYqs0Cukc_aem_AaPvs15xMMhmwJOJU8OPxeL1TDoqvimudtdcTprPFyNpQ9uOMlF2LX5kQPSa7oxPSsphJVYdqVefD_jvnTkX-Mr9)
22:42:26	102007/102007	---MCZ	200	added ('OK')	text/css	date:Fri,%2017%20May%202024%2006:44:47%20GMT	https://dt-baby-care.myshopify.com/cdn/shop/t/3/assets/dt-framework.css?v=32495828637880241821658995336	E:/WorkSpace/baby/dt-baby-care.myshopify.com/cdn/shop/t/3/assets/dt-frameworka9c9.css	(from https://dt-baby-care.myshopify.com/?fbclid=IwZXh0bgNhZW0CMTAAAR1ceN_XS-y7oAUOKpaSMkfw_DsaFdrsg-gZkY2DbLx_9BmL3SAYqs0Cukc_aem_AaPvs15xMMhmwJOJU8OPxeL1TDoqvimudtdcTprPFyNpQ9uOMlF2LX5kQPSa7oxPSsphJVYdqVefD_jvnTkX-Mr9)
22:42:26	23864/23864	---MCZ	200	added ('OK')	text/css	date:Tue,%2014%20May%202024%2000:49:14%20GMT	https://dt-baby-care.myshopify.com/cdn/shop/t/3/assets/dt-custom.css?v=32157073707039669061630137252	E:/WorkSpace/baby/dt-baby-care.myshopify.com/cdn/shop/t/3/assets/dt-customd29e.css	(from https://dt-baby-care.myshopify.com/?fbclid=IwZXh0bgNhZW0CMTAAAR1ceN_XS-y7oAUOKpaSMkfw_DsaFdrsg-gZkY2DbLx_9BmL3SAYqs0Cukc_aem_AaPvs15xMMhmwJOJU8OPxeL1TDoqvimudtdcTprPFyNpQ9uOMlF2LX5kQPSa7oxPSsphJVYdqVefD_jvnTkX-Mr9)
22:42:26	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20May%202024%2015:42:26%20GMT	http://dt-baby-care.myshopify.com/cdn/shop/t/3/assets/swiper-bundle.min.css?v=61559546085551832391629175400	E:/WorkSpace/baby/dt-baby-care.myshopify.com/cdn/shop/t/3/assets/swiper-bundle.min7bd3.css	(from https://dt-baby-care.myshopify.com/?fbclid=IwZXh0bgNhZW0CMTAAAR1ceN_XS-y7oAUOKpaSMkfw_DsaFdrsg-gZkY2DbLx_9BmL3SAYqs0Cukc_aem_AaPvs15xMMhmwJOJU8OPxeL1TDoqvimudtdcTprPFyNpQ9uOMlF2LX5kQPSa7oxPSsphJVYdqVefD_jvnTkX-Mr9)
22:42:27	13883/13883	---MCZ	200	added ('OK')	text/css	date:Tue,%2014%20May%202024%2000:49:52%20GMT	https://dt-baby-care.myshopify.com/cdn/shop/t/3/assets/swiper-bundle.min.css?v=61559546085551832391629175400	E:/WorkSpace/baby/dt-baby-care.myshopify.com/cdn/shop/t/3/assets/swiper-bundle.min7bd3.css	(from https://dt-baby-care.myshopify.com/?fbclid=IwZXh0bgNhZW0CMTAAAR1ceN_XS-y7oAUOKpaSMkfw_DsaFdrsg-gZkY2DbLx_9BmL3SAYqs0Cukc_aem_AaPvs15xMMhmwJOJU8OPxeL1TDoqvimudtdcTprPFyNpQ9uOMlF2LX5kQPSa7oxPSsphJVYdqVefD_jvnTkX-Mr9)
22:42:27	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20May%202024%2015:42:27%20GMT	http://dt-baby-care.myshopify.com/cdn/shop/t/3/assets/select2.min.css?v=27970650042005650811629175396	E:/WorkSpace/baby/dt-baby-care.myshopify.com/cdn/shop/t/3/assets/select2.mine0c9.css	(from https://dt-baby-care.myshopify.com/?fbclid=IwZXh0bgNhZW0CMTAAAR1ceN_XS-y7oAUOKpaSMkfw_DsaFdrsg-gZkY2DbLx_9BmL3SAYqs0Cukc_aem_AaPvs15xMMhmwJOJU8OPxeL1TDoqvimudtdcTprPFyNpQ9uOMlF2LX5kQPSa7oxPSsphJVYdqVefD_jvnTkX-Mr9)
22:42:27	16265/16265	---MCZ	200	added ('OK')	text/css	date:Tue,%2014%20May%202024%2000:49:52%20GMT	https://dt-baby-care.myshopify.com/cdn/shop/t/3/assets/select2.min.css?v=27970650042005650811629175396	E:/WorkSpace/baby/dt-baby-care.myshopify.com/cdn/shop/t/3/assets/select2.mine0c9.css	(from https://dt-baby-care.myshopify.com/?fbclid=IwZXh0bgNhZW0CMTAAAR1ceN_XS-y7oAUOKpaSMkfw_DsaFdrsg-gZkY2DbLx_9BmL3SAYqs0Cukc_aem_AaPvs15xMMhmwJOJU8OPxeL1TDoqvimudtdcTprPFyNpQ9uOMlF2LX5kQPSa7oxPSsphJVYdqVefD_jvnTkX-Mr9)
22:42:27	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20May%202024%2015:42:27%20GMT	http://dt-baby-care.myshopify.com/cdn/shop/t/3/assets/slick.css?v=105848270326492094871629175396	E:/WorkSpace/baby/dt-baby-care.myshopify.com/cdn/shop/t/3/assets/slicke667.css	(from https://dt-baby-care.myshopify.com/?fbclid=IwZXh0bgNhZW0CMTAAAR1ceN_XS-y7oAUOKpaSMkfw_DsaFdrsg-gZkY2DbLx_9BmL3SAYqs0Cukc_aem_AaPvs15xMMhmwJOJU8OPxeL1TDoqvimudtdcTprPFyNpQ9uOMlF2LX5kQPSa7oxPSsphJVYdqVefD_jvnTkX-Mr9)
